DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
Frame Id, Location u [pix], Location u [pix], Location u [pix], Location u [pix], Location v [pix], Location v [pix], Location v [pix], Location v [pix], Force 1, Force 2, Force 3, Force 4, Displacement 1, Displacement 2, Displacement 3, Displacement 4, 
, s0, s1, s2, s3, s0, s1, s2, s3, N, N, N, N, mm, mm, mm, mm, 
 ,,,,,,,,,,,,,,,,,
48,1562.010877,1558.135205,1413.041675,1403.917452,1296.731971,1482.089926,1451.617474,1293.284342,0.10389,0.03155,0.01182,0.05621,0.32595,0.34503,0.31379,0.35127, 
49,1561.531819,1558.102911,1412.779568,1403.363874,1296.45914,1482.054493,1451.284351,1292.874915,0.10554,0.0299,0.01182,0.06114,0.34009,0.35982,0.32398,0.3664, 
50,1561.558291,1558.063731,1412.66621,1403.429295,1296.521414,1482.083079,1451.31311,1292.91769,0.10389,0.03319,0.01182,0.06114,0.34207,0.3641,0.33121,0.37364, 
51,1561.464132,1557.720251,1412.520918,1403.120424,1296.249687,1481.965912,1451.053574,1292.57688,0.10718,0.02826,0.00853,0.06443,0.35654,0.37857,0.34371,0.38416, 
52,1561.721761,1558.243234,1412.590499,1403.432872,1296.527207,1482.157064,1451.084826,1292.883269,0.10883,0.0299,0.00359,0.06114,0.36147,0.38251,0.34996,0.39271, 
53,1561.959919,1558.326964,1412.65145,1403.613533,1296.577681,1482.317872,1451.322532,1292.997015,0.10718,0.02826,0.00524,0.05785,0.37232,0.39435,0.3539,0.39731, 
54,1561.532795,1558.155721,1412.543902,1403.229595,1296.530521,1482.217682,1451.320765,1292.965632,0.10554,0.03155,0.00359,0.0595,0.37594,0.40027,0.36476,0.40849, 
55,1562.268065,1558.770968,1412.789459,1403.803002,1297.016034,1482.502079,1451.742269,1293.498106,0.11047,0.03155,0.00359,0.0595,0.38942,0.41737,0.38153,0.40784, 
56,1561.847628,1558.554071,1412.685924,1403.360077,1296.192357,1482.236196,1450.892682,1292.653999,0.10718,0.0299,0.00195,0.0595,0.39074,0.42033,0.38087,0.42, 
57,1561.645643,1558.363927,1412.486134,1403.126595,1296.549421,1482.459282,1451.078009,1292.872588,0.10554,0.02826,0.00359,0.0595,0.40323,0.43217,0.39468,0.43118, 
58,1562.115222,1558.613838,1412.730475,1403.674309,1296.879953,1482.659801,1451.528593,1293.255067,0.10225,0.03155,0.00359,0.05621,0.41704,0.44335,0.40093,0.44763, 
59,1562.121567,1558.877058,1412.800726,1403.608839,1296.853247,1482.953823,1451.330906,1293.230562,0.11212,0.02497,0.00853,0.0595,0.41803,0.44763,0.40685,0.45453, 
60,1562.176551,1559.143687,1412.782627,1403.618892,1296.871161,1483.033024,1451.297569,1293.139007,0.10389,0.03155,0.01182,0.05785,0.43053,0.46275,0.42099,0.47229, 
61,1562.023937,1559.244959,1412.610237,1403.323138,1296.87994,1482.934833,1451.225422,1293.192756,0.10718,0.02333,0.01182,0.05621,0.43184,0.46539,0.42231,0.47426, 
62,1562.401215,1559.726105,1412.75553,1403.780831,1296.941137,1482.985326,1451.384348,1293.129696,0.10554,0.02661,0.01017,0.05621,0.4473,0.47821,0.43447,0.48775, 
63,1561.878632,1559.308997,1412.583846,1403.200913,1296.975963,1483.060315,1451.54608,1293.304989,0.10883,0.02661,0.00688,0.05621,0.45223,0.48577,0.4371,0.49038, 
64,1562.547797,1559.75175,1412.846189,1403.840928,1297.33022,1483.269589,1451.655735,1293.439694,0.09896,0.0299,0.01182,0.05785,0.46308,0.49696,0.45223,0.50846, 
65,1562.305783,1559.64686,1412.80386,1403.532236,1297.321746,1483.285075,1451.519253,1293.479773,0.10883,0.0299,0.01182,0.05621,0.4713,0.50649,0.45519,0.5111, 
66,1562.530774,1559.714774,1412.891704,1403.782134,1297.407711,1483.563116,1451.667261,1293.416487,0.10718,0.02497,0.01017,0.05621,0.47854,0.5111,0.46506,0.52359, 
67,1562.750587,1560.027433,1413.15435,1403.944811,1297.452838,1483.836165,1451.584258,1293.636032,0.10883,0.02333,0.01017,0.0595,0.49202,0.52951,0.47755,0.53576, 
68,1562.579541,1560.001351,1413.115759,1403.827372,1297.538488,1483.931534,1451.642101,1293.616232,0.10554,0.02661,0.00853,0.0595,0.49597,0.53642,0.48051,0.53872, 
69,1562.516212,1559.954886,1412.986932,1403.57868,1297.36523,1483.814295,1451.590634,1293.609391,0.10883,0.03155,0.01017,0.06114,0.50748,0.54497,0.49531,0.55648, 
70,1562.633645,1560.037894,1413.093845,1403.750629,1297.454258,1483.907676,1451.645264,1293.567176,0.10718,0.0299,0.00688,0.05785,0.50386,0.54694,0.494,0.55483, 
71,1563.006269,1560.312101,1413.268306,1404.252024,1297.43761,1484.000274,1451.44069,1293.489753,0.10883,0.02661,0.01182,0.05621,0.52293,0.56174,0.50846,0.56799, 
72,1562.723682,1560.119155,1413.167761,1403.834416,1297.426732,1484.063515,1451.628762,1293.727963,0.10554,0.02497,0.01182,0.0595,0.53181,0.57719,0.51997,0.58246, 
73,1563.109603,1560.615862,1413.457268,1404.154791,1297.514321,1484.087845,1451.541309,1293.699692,0.10554,0.02497,0.00853,0.05785,0.53181,0.57752,0.51997,0.58279, 
74,1562.92549,1560.693612,1413.242597,1403.890213,1297.489757,1484.204136,1451.520004,1293.709201,0.10718,0.02497,0.01182,0.06443,0.53938,0.58574,0.52984,0.59101, 
75,1563.381727,1560.884563,1413.621485,1404.278779,1297.569391,1484.231427,1451.536195,1293.631236,0.10883,0.03155,0.01017,0.05785,0.54957,0.59364,0.53806,0.60252, 
76,1563.007325,1560.839952,1413.474994,1403.798144,1297.975785,1484.449419,1451.743606,1294.054533,0.10554,0.02661,0.00853,0.05621,0.56799,0.61271,0.55516,0.62159, 
77,1563.281108,1560.914205,1413.511801,1404.00315,1297.760533,1484.582731,1451.500556,1293.805303,0.11047,0.02661,0.01182,0.06114,0.56601,0.61699,0.55746,0.62521, 
