DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
Frame Id, Location u [pix], Location u [pix], Location u [pix], Location u [pix], Location v [pix], Location v [pix], Location v [pix], Location v [pix], Force 1, Force 2, Force 3, Force 4, Displacement 1, Displacement 2, Displacement 3, Displacement 4, 
, s0, s1, s2, s3, s0, s1, s2, s3, N, N, N, N, mm, mm, mm, mm, 
 ,,,,,,,,,,,,,,,,,
271,1567.911507,1554.740435,1407.470535,1386.597165,1357.579321,1552.919451,1510.887137,1353.817524,0.33573,0.12198,0.23708,0.16144,2.19186,2.41811,2.17706,2.41482, 
272,1568.427185,1555.153554,1407.770518,1387.010973,1357.6642,1552.901179,1511.033061,1353.936411,0.3308,0.11869,0.23543,0.16309,2.19778,2.42403,2.18331,2.43225, 
273,1568.590529,1555.341993,1407.797149,1387.007313,1357.741724,1553.134361,1511.235957,1354.01535,0.33573,0.12363,0.23215,0.16144,2.19975,2.42468,2.19153,2.4306, 
274,1568.153497,1555.10936,1407.39198,1386.474765,1357.736734,1553.420789,1511.331401,1354.046196,0.33902,0.1302,0.24037,0.16473,2.21751,2.44507,2.20337,2.45395, 
275,1568.590323,1555.110695,1407.526709,1386.718878,1357.555999,1553.33437,1511.286917,1353.929384,0.34067,0.12691,0.24366,0.17131,2.21849,2.44606,2.20567,2.45395, 
276,1568.523685,1555.142255,1407.331166,1386.484577,1357.742758,1553.58912,1511.434396,1354.049686,0.34067,0.1302,0.24366,0.1746,2.23263,2.45954,2.21586,2.47171, 
277,1568.722844,1555.148773,1407.489894,1386.495466,1357.820855,1553.964046,1511.690153,1354.105563,0.34889,0.1302,0.24694,0.17295,2.23,2.46217,2.21586,2.46743, 
278,1568.586,1554.947592,1407.248631,1386.120922,1357.715884,1553.935538,1511.700937,1354.05298,0.34889,0.12691,0.25352,0.17624,2.24151,2.47368,2.2277,2.48388, 
279,1568.414306,1554.813974,1407.216803,1386.053577,1357.709214,1554.096314,1511.802241,1354.071388,0.35218,0.1302,0.25352,0.17953,2.255,2.48782,2.24349,2.49835, 
280,1568.946923,1555.106011,1407.330191,1386.284492,1357.841267,1554.404675,1512.004745,1354.18565,0.35218,0.13185,0.25517,0.18117,2.25828,2.4921,2.24283,2.50032, 
281,1568.190868,1554.640446,1406.811587,1385.37929,1357.704257,1554.360893,1512.083292,1354.128894,0.35053,0.13349,0.25517,0.17953,2.26453,2.50098,2.25335,2.50953, 
282,1568.962433,1554.805043,1407.171347,1385.996315,1357.662849,1554.565438,1512.095095,1354.067291,0.35218,0.13349,0.25681,0.18446,2.27374,2.50986,2.25664,2.51413, 
283,1568.830902,1554.835868,1406.992793,1385.557543,1357.664637,1554.764356,1512.162098,1354.011223,0.3604,0.13842,0.26668,0.18775,2.2961,2.52959,2.27867,2.53715, 
284,1569.25953,1555.324347,1407.09454,1385.957364,1357.763123,1555.065026,1512.294557,1354.168265,0.3604,0.145,0.25845,0.1894,2.29347,2.52926,2.27736,2.53781, 
285,1569.085903,1556.011149,1406.928647,1385.525883,1357.457734,1555.1926,1511.915541,1353.785326,0.36697,0.14171,0.26174,0.18446,2.3109,2.54504,2.29216,2.55162, 
286,1569.817273,1556.190035,1407.229957,1386.179648,1358.085629,1555.743011,1512.722918,1354.479245,0.36697,0.145,0.26996,0.18775,2.30399,2.54636,2.29183,2.54998, 
287,1568.958976,1555.11792,1406.871039,1385.304617,1357.426169,1555.416791,1512.33595,1353.865758,0.36533,0.14829,0.26996,0.19104,2.31846,2.55951,2.30564,2.56773, 
288,1569.681488,1556.428205,1406.981825,1385.871418,1357.757267,1555.979946,1512.35146,1353.989371,0.37191,0.145,0.2749,0.19597,2.33721,2.57398,2.31846,2.58187, 
289,1569.63467,1556.836588,1406.884966,1385.597041,1357.703091,1556.132592,1512.548192,1354.079806,0.37191,0.15158,0.27654,0.20091,2.33951,2.58056,2.32405,2.58352, 
290,1569.549247,1556.90341,1406.662927,1385.345897,1357.474758,1556.017883,1512.346366,1353.819593,0.37191,0.15158,0.27819,0.19926,2.34543,2.58977,2.33096,2.59634, 
291,1569.627121,1557.050585,1406.791774,1385.400263,1357.673669,1556.345959,1512.767975,1354.048003,0.37848,0.15158,0.27819,0.20091,2.35365,2.59601,2.33754,2.60358, 
292,1569.709338,1557.067652,1406.630368,1385.224558,1357.598147,1556.508232,1512.793173,1354.021794,0.37684,0.15487,0.28312,0.20255,2.36746,2.61312,2.35069,2.61739, 
293,1570.048946,1557.307716,1406.694146,1385.413155,1357.577875,1556.642115,1512.747416,1353.927405,0.38013,0.15651,0.28312,0.20419,2.36549,2.61312,2.3553,2.62002, 
294,1569.752982,1556.810755,1406.509298,1384.791091,1357.544891,1556.774285,1512.953077,1353.881351,0.38342,0.1598,0.28312,0.20584,2.37897,2.62167,2.36483,2.63252, 
295,1570.124012,1557.201435,1406.680242,1385.197309,1357.468074,1556.981962,1512.976138,1353.919015,0.38835,0.15815,0.28805,0.20584,2.38226,2.63252,2.36878,2.63482, 
296,1570.182128,1557.219352,1406.607878,1384.989132,1357.573616,1557.184718,1513.151854,1353.945742,0.38999,0.16473,0.29298,0.21241,2.39344,2.64107,2.3816,2.65093, 
297,1569.838572,1556.865039,1406.389378,1384.520677,1357.516651,1557.286732,1513.442529,1354.061372,0.39328,0.16638,0.29956,0.21735,2.4089,2.65521,2.39311,2.6608, 
298,1570.557498,1557.197739,1406.608,1385.001764,1357.456389,1557.574109,1513.448416,1353.911202,0.39328,0.16966,0.30285,0.21406,2.40988,2.65817,2.39739,2.66639, 
299,1569.996141,1556.965145,1406.101376,1384.300895,1357.429069,1557.594534,1513.498178,1353.848844,0.4015,0.17295,0.30285,0.22228,2.41876,2.67264,2.41021,2.67987, 
300,1570.309169,1556.757465,1406.122064,1384.486463,1357.446974,1557.723106,1513.583767,1353.781822,0.39986,0.17131,0.30285,0.22228,2.4283,2.67889,2.41284,2.68185, 
301,1570.305537,1556.7911,1406.087969,1384.273798,1357.285828,1557.913257,1513.568028,1353.714973,0.40973,0.17624,0.30943,0.22886,2.44277,2.69664,2.42797,2.70158, 
302,1570.49725,1557.148475,1406.165055,1384.35428,1357.299118,1558.078325,1513.743397,1353.698124,0.40644,0.1746,0.31107,0.22886,2.44474,2.69467,2.43093,2.70618, 
303,1570.523792,1556.878394,1406.000852,1384.12752,1357.28465,1558.278954,1513.815801,1353.822073,0.40973,0.17953,0.31436,0.23215,2.45757,2.71078,2.4431,2.71966, 
304,1570.482225,1556.88727,1405.978233,1384.076034,1357.261611,1558.441949,1513.868574,1353.739725,0.40973,0.18117,0.31765,0.23215,2.4579,2.71835,2.44441,2.71933, 
305,1570.563282,1557.049,1405.808108,1383.831427,1357.214971,1558.690215,1513.981806,1353.705581,0.4163,0.18117,0.316,0.23379,2.4671,2.72427,2.45658,2.73479, 
306,1570.642518,1556.739203,1405.945323,1383.870564,1356.973631,1558.666909,1513.972362,1353.620041,0.42124,0.18775,0.32751,0.23215,2.48026,2.73874,2.46612,2.74203, 
307,1570.918162,1557.000884,1405.974401,1383.965766,1357.060459,1558.940224,1514.178093,1353.666975,0.42617,0.18775,0.32258,0.23872,2.47796,2.73841,2.46908,2.7486, 
308,1570.882574,1556.963142,1405.654435,1383.68132,1357.063406,1559.119547,1514.297122,1353.397065,0.42288,0.18775,0.32916,0.24366,2.4944,2.75748,2.48322,2.76406, 
309,1570.844388,1556.541305,1405.518153,1383.421711,1357.067275,1559.24732,1514.324477,1353.206156,0.42781,0.19597,0.32751,0.25188,2.51018,2.76899,2.49637,2.77064, 
310,1570.812103,1556.530373,1405.409034,1383.350448,1356.883908,1559.36345,1514.376378,1353.039783,0.42946,0.20255,0.33245,0.24859,2.51841,2.77787,2.50361,2.78576, 
311,1571.045797,1556.565221,1405.530072,1383.249741,1356.896226,1559.619653,1514.386831,1353.155342,0.43439,0.19926,0.33245,0.25188,2.51841,2.7828,2.5069,2.78609, 
312,1571.128867,1556.672342,1405.585114,1383.190615,1356.802286,1559.720369,1514.567098,1353.022918,0.43275,0.20419,0.33902,0.25352,2.52728,2.793,2.51676,2.80122, 
313,1571.245267,1556.703568,1405.508538,1383.192901,1356.684052,1559.829609,1514.529148,1352.930634,0.43439,0.20748,0.33902,0.25845,2.53682,2.80188,2.52169,2.80812, 
314,1571.489938,1556.891912,1405.381821,1383.123145,1356.747351,1560.028671,1514.648181,1353.014937,0.44097,0.20913,0.34231,0.25845,2.5411,2.80582,2.52663,2.8124, 
315,1571.225344,1556.469591,1405.163364,1382.737698,1356.576237,1560.117176,1514.756311,1352.864214,0.4459,0.20748,0.34396,0.25681,2.55326,2.82062,2.53912,2.82818, 
316,1571.460764,1556.645586,1405.189625,1382.738011,1356.678206,1560.331711,1514.957314,1353.023349,0.4459,0.21735,0.34724,0.26668,2.5628,2.83147,2.55063,2.83706, 
317,1571.610356,1556.770463,1405.281072,1382.745111,1356.48135,1560.411685,1514.881404,1352.891619,0.44754,0.21406,0.34889,0.26668,2.56576,2.83542,2.55261,2.83904, 
318,1571.247104,1556.248022,1404.798739,1382.154922,1356.272377,1560.579804,1514.865937,1352.699409,0.45248,0.22228,0.35218,0.26668,2.57464,2.84364,2.56116,2.84956, 
319,1571.738836,1556.552963,1404.956049,1382.444054,1356.441383,1560.920962,1515.160658,1353.043075,0.45412,0.21735,0.35382,0.27161,2.58714,2.85778,2.57201,2.86271, 
320,1571.366173,1556.360983,1404.788894,1382.195499,1356.294226,1561.123993,1515.258815,1353.169437,0.45905,0.22886,0.35875,0.27819,2.60062,2.8683,2.58253,2.87258, 
321,1571.751471,1556.373326,1404.803166,1382.375799,1356.273229,1561.191607,1515.282356,1352.996563,0.46563,0.2305,0.36369,0.28147,2.60456,2.87324,2.5901,2.8831, 
322,1571.651312,1556.4654,1404.537411,1382.220719,1356.114751,1561.334163,1515.302087,1353.090238,0.46234,0.23543,0.36862,0.27983,2.61048,2.8831,2.59503,2.88771, 
323,1571.804827,1556.402959,1404.5517,1382.302469,1356.225667,1561.477969,1515.344823,1352.837191,0.47385,0.23215,0.37191,0.28969,2.61607,2.88869,2.60391,2.89494, 
324,1571.648198,1556.188229,1404.208458,1381.84922,1356.014688,1561.596799,1515.357047,1352.62034,0.47221,0.24201,0.3752,0.28805,2.63219,2.90711,2.61805,2.91336, 
325,1572.136693,1556.528664,1404.524317,1382.090263,1355.964659,1561.870353,1515.374283,1352.469272,0.47221,0.23872,0.3752,0.29627,2.63252,2.90711,2.61805,2.91467, 
326,1571.628968,1556.051041,1404.058618,1381.371022,1356.087798,1562.080315,1515.712482,1352.618549,0.47878,0.24694,0.37848,0.29463,2.6414,2.9173,2.63219,2.92848, 
327,1572.113404,1556.123749,1404.196198,1381.779308,1355.994965,1562.191957,1515.744609,1352.555474,0.48207,0.24859,0.38835,0.29298,2.6506,2.93177,2.64107,2.93013, 
328,1571.993912,1556.330396,1404.02963,1381.349789,1356.041009,1562.433276,1515.899337,1352.521396,0.48536,0.25681,0.39164,0.30285,2.6631,2.94328,2.65126,2.9515, 
329,1572.228977,1556.331976,1404.09567,1381.554995,1355.940768,1562.681577,1515.936024,1352.388694,0.49029,0.25517,0.39493,0.30449,2.67001,2.94854,2.65192,2.95348, 
330,1572.117352,1556.068533,1403.878797,1381.206406,1355.839062,1562.700177,1516.048086,1352.241033,0.49194,0.25517,0.39164,0.30449,2.68217,2.9594,2.66573,2.96597, 
331,1571.499839,1555.660745,1403.296538,1380.422054,1355.586161,1562.854634,1516.049817,1352.154574,0.49687,0.25681,0.39657,0.30778,2.68053,2.96104,2.66474,2.96597, 
332,1573.356845,1556.637026,1404.370409,1382.158048,1356.027043,1563.388159,1516.477679,1352.464275,0.50016,0.25845,0.39986,0.30614,2.69303,2.97025,2.67921,2.9811, 
333,1572.44265,1556.10182,1403.967647,1380.988397,1355.470794,1563.284436,1516.132595,1351.954394,0.50509,0.26832,0.40973,0.316,2.70618,2.98965,2.6927,2.9936, 
334,1572.402983,1556.230852,1403.715781,1380.922489,1355.493935,1563.451912,1516.316766,1352.027248,0.50345,0.26996,0.40973,0.31929,2.71539,2.9982,2.70026,2.99721, 
335,1573.008234,1556.377037,1404.071628,1381.309312,1355.501747,1563.579297,1516.468624,1352.067273,0.50838,0.26503,0.40973,0.31765,2.71736,3.00215,2.70585,3.01103, 
336,1572.79737,1556.299464,1403.694012,1380.840305,1355.291963,1563.701519,1516.482652,1351.75338,0.51496,0.27325,0.41301,0.32258,2.71999,3.00609,2.70684,3.01135, 
337,1571.624219,1555.613644,1402.730308,1379.586025,1355.163686,1563.92125,1516.522534,1351.655969,0.52318,0.27819,0.41959,0.3308,2.74203,3.0278,2.72427,3.03306, 
338,1573.248184,1556.248948,1403.543709,1380.999863,1355.324487,1564.315932,1516.723659,1351.74473,0.51989,0.27983,0.42617,0.33409,2.74433,3.03339,2.73282,3.03865, 
339,1572.020674,1555.24928,1402.759947,1379.544877,1354.966611,1564.197043,1516.674215,1351.465852,0.52647,0.27983,0.42617,0.33573,2.75781,3.04391,2.73643,3.04687, 
340,1572.511564,1555.586288,1402.811367,1379.850141,1354.961175,1564.51905,1516.788312,1351.483365,0.52647,0.28312,0.42781,0.33902,2.75189,3.04523,2.74367,3.05213, 
341,1573.290713,1556.013655,1403.228889,1380.434648,1355.132947,1564.883635,1517.101102,1351.667164,0.53469,0.28805,0.43603,0.34396,2.77195,3.06397,2.75748,3.06825, 
342,1573.249776,1556.120471,1403.296016,1380.11532,1355.12979,1565.260456,1517.183995,1351.591378,0.53469,0.29134,0.43932,0.34724,2.77984,3.07252,2.76472,3.07614, 
343,1572.73641,1555.505178,1402.799485,1379.403537,1354.880978,1565.250913,1517.128867,1351.248859,0.54127,0.29463,0.43768,0.35218,2.78971,3.08009,2.77655,3.0837, 
344,1572.936898,1555.366105,1402.703533,1379.489803,1354.81239,1565.347745,1517.24506,1351.235857,0.54784,0.29792,0.44261,0.35382,2.78905,3.08304,2.77853,3.09291, 
345,1573.188821,1555.538718,1402.771399,1379.549578,1354.740782,1565.662219,1517.285166,1351.107915,0.54784,0.29627,0.44919,0.35711,2.80056,3.09258,2.78313,3.09982, 
346,1573.31008,1555.419286,1402.793892,1379.50308,1354.493488,1565.875941,1517.322454,1351.066329,0.55442,0.30943,0.45576,0.36369,2.8147,3.11067,2.80155,3.11955, 
347,1573.241705,1554.814041,1402.443116,1379.251222,1354.406195,1565.67556,1517.391508,1350.922129,0.55771,0.30943,0.4607,0.36369,2.81733,3.11363,2.80352,3.12152, 
348,1573.062103,1553.989499,1402.303828,1378.740616,1353.967468,1565.594372,1517.280928,1350.598231,0.55935,0.31436,0.46563,0.36862,2.82917,3.12415,2.81602,3.13369, 
349,1572.953958,1553.003825,1402.129484,1378.423695,1354.201262,1565.930436,1517.85164,1350.772862,0.56757,0.31765,0.46892,0.37355,2.82983,3.12612,2.81602,3.13402, 
350,1573.260268,1552.987871,1402.314943,1378.611392,1354.273755,1566.245179,1517.997681,1350.846529,0.57086,0.32587,0.47385,0.37848,2.83904,3.14092,2.82851,3.14651, 
351,1573.163648,1553.522166,1401.954051,1378.338579,1353.857605,1566.224213,1517.474059,1350.384478,0.5758,0.32422,0.47714,0.38342,2.85482,3.15638,2.84331,3.16263, 
352,1573.460888,1553.159247,1401.932393,1378.394825,1353.882596,1566.454454,1517.934634,1350.421163,0.57908,0.32916,0.47714,0.38671,2.85943,3.15967,2.84759,3.16296, 
353,1573.131479,1552.555503,1401.76885,1377.885009,1353.432844,1566.349657,1517.710132,1350.032229,0.58895,0.33573,0.48043,0.38342,2.8683,3.16986,2.85581,3.17775, 
354,1573.53784,1552.738942,1401.857293,1378.059334,1353.588269,1566.788117,1517.904901,1350.054457,0.58566,0.33902,0.48865,0.38999,2.87192,3.17644,2.85877,3.18006, 
355,1573.362935,1552.455292,1401.517016,1377.571186,1353.437845,1566.81897,1518.15486,1350.035579,0.59059,0.34231,0.49358,0.4015,2.8831,3.19157,2.86962,3.19453, 
356,1573.908397,1552.771271,1401.892943,1378.077113,1353.362937,1567.077732,1518.085851,1349.858141,0.59553,0.35218,0.49852,0.40315,2.89165,3.19979,2.87981,3.20439, 
357,1573.447809,1552.60444,1401.452098,1377.52654,1353.538118,1567.556961,1518.508624,1350.115933,0.59553,0.35382,0.50345,0.40808,2.89889,3.20669,2.88508,3.20965, 
358,1574.058389,1552.784974,1401.663183,1377.912253,1353.080312,1567.295475,1518.03004,1349.63866,0.60046,0.35711,0.51331,0.40808,2.90382,3.21689,2.8956,3.21952, 
359,1573.688814,1552.648561,1401.055267,1377.125629,1353.184325,1567.803038,1518.653606,1349.776276,0.60704,0.3604,0.51496,0.4163,2.92322,3.23004,2.90481,3.23399, 
360,1574.109874,1552.873378,1401.32488,1377.476554,1353.151883,1568.113967,1518.459145,1349.561966,0.60868,0.36862,0.52647,0.42946,2.92355,3.23662,2.91336,3.24155, 
361,1574.07951,1552.670079,1401.405931,1377.318462,1352.791328,1568.00754,1518.384879,1349.349585,0.6169,0.37026,0.52318,0.42617,2.93736,3.24352,2.91796,3.2478, 
362,1574.507304,1552.811093,1401.498545,1377.458651,1352.889768,1568.213442,1518.626364,1349.256472,0.61855,0.37684,0.53304,0.4311,2.94953,3.25701,2.93177,3.26358, 
363,1573.935137,1552.535957,1401.003447,1376.77004,1352.486974,1568.192295,1518.330622,1348.963737,0.63006,0.37191,0.53304,0.43603,2.95315,3.25931,2.93638,3.2672, 
364,1573.973321,1552.276535,1400.641431,1376.515505,1352.516413,1568.509343,1518.580562,1348.952691,0.6317,0.38342,0.54127,0.44754,2.9686,3.27674,2.95249,3.28332, 
365,1574.490374,1552.877504,1400.772567,1376.903785,1352.17754,1568.512,1518.451821,1348.648189,0.63663,0.39164,0.54127,0.44425,2.96597,3.27509,2.95216,3.28463, 
366,1574.399369,1552.694047,1400.509729,1376.445917,1352.265729,1568.802211,1518.701526,1348.752412,0.63828,0.39822,0.55113,0.45083,2.97584,3.29022,2.96564,3.30173, 
367,1574.081662,1552.264029,1400.282785,1376.122266,1352.302683,1569.135911,1518.836539,1348.774741,0.64814,0.4015,0.55442,0.45248,2.98603,3.30042,2.96992,3.30601, 
368,1574.783727,1552.729453,1400.543574,1376.458245,1351.966331,1569.276758,1518.725447,1348.458725,0.64485,0.40315,0.56429,0.45576,2.99393,3.30962,2.98143,3.31785, 
369,1574.407002,1552.508863,1400.140728,1375.876114,1351.781142,1569.322135,1518.780529,1348.300128,0.65636,0.40973,0.56757,0.46234,3.00741,3.32245,2.99129,3.32738, 
370,1574.832667,1552.468809,1400.251816,1376.121158,1351.683052,1569.485876,1518.83068,1348.125796,0.65801,0.41137,0.56757,0.46563,3.00083,3.32409,2.99294,3.32968, 
371,1574.666264,1552.385554,1400.091008,1375.862615,1351.571703,1569.772881,1518.822316,1347.960108,0.67116,0.42124,0.57744,0.47056,3.01431,3.33692,3.0028,3.34185, 
372,1574.880231,1552.290117,1400.218259,1375.940647,1351.473815,1569.797264,1518.872494,1347.746061,0.67116,0.42452,0.58731,0.48043,3.03141,3.34744,3.01695,3.35139, 
373,1574.528381,1551.874578,1399.649809,1375.403841,1351.279837,1569.916826,1518.881444,1347.518379,0.67938,0.42946,0.58566,0.48536,3.03832,3.35829,3.02385,3.3652, 
374,1575.177623,1552.524636,1399.722983,1375.741333,1351.148973,1570.153477,1518.95865,1347.479131,0.67774,0.43439,0.58731,0.48536,3.04227,3.36388,3.02846,3.36948, 
375,1575.002618,1552.257827,1399.6246,1375.468229,1350.949782,1570.355414,1518.95319,1347.255089,0.69418,0.44097,0.59717,0.49687,3.05476,3.37737,3.04095,3.38329, 
376,1575.043503,1552.280007,1399.551966,1375.288557,1351.124654,1570.752796,1519.267562,1347.463858,0.69254,0.4459,0.6021,0.49523,3.05707,3.38098,3.04325,3.38723, 
377,1574.800563,1552.032575,1399.323729,1374.798227,1350.839677,1570.853415,1519.264895,1347.086829,0.69911,0.44425,0.60868,0.50345,3.06627,3.39348,3.05674,3.39973, 
378,1575.815052,1552.486054,1399.80905,1375.619328,1350.652159,1570.869971,1519.252454,1346.841871,0.70898,0.45412,0.61526,0.51331,3.07844,3.40433,3.06364,3.40762, 
379,1575.437279,1552.424238,1399.317641,1374.968876,1350.497901,1571.050845,1519.315136,1346.640972,0.71556,0.4607,0.62348,0.51003,3.0814,3.4096,3.07417,3.41617, 
380,1575.779697,1552.563019,1399.326006,1375.060745,1350.476139,1571.502532,1519.438811,1346.763126,0.72213,0.46563,0.62677,0.52318,3.09883,3.42406,3.08337,3.43031, 
381,1575.09061,1551.768985,1398.661959,1374.103298,1350.085868,1571.368604,1519.261779,1346.342836,0.72542,0.46563,0.63006,0.52153,3.0962,3.42406,3.08272,3.42933, 
382,1575.663093,1551.985872,1398.835971,1374.57572,1350.092375,1571.653111,1519.387298,1346.43969,0.73036,0.47221,0.63992,0.5314,3.10968,3.43886,3.09751,3.44478, 
383,1576.003367,1552.26952,1399.114975,1374.551425,1350.021068,1571.872828,1519.47349,1346.225995,0.73529,0.48043,0.64814,0.53633,3.12251,3.45037,3.11198,3.45794, 
384,1575.802643,1551.8564,1398.736687,1374.240174,1349.917838,1571.673627,1519.44035,1345.978053,0.73858,0.48372,0.65472,0.54784,3.12941,3.45794,3.11527,3.46583, 
385,1575.716326,1551.707383,1398.421722,1373.845921,1349.549304,1571.989911,1519.163197,1345.797316,0.75173,0.48207,0.65636,0.5462,3.13204,3.46583,3.12119,3.47273, 
386,1576.757817,1552.290904,1399.107896,1374.654936,1349.622436,1572.555565,1519.456693,1345.769373,0.75009,0.49029,0.65965,0.55113,3.14487,3.47537,3.12678,3.4803, 
387,1575.212817,1551.008701,1397.704339,1372.964095,1349.28041,1572.639297,1519.422589,1345.434075,0.76653,0.50345,0.67281,0.56429,3.15638,3.48819,3.13961,3.49608, 
388,1576.171059,1551.614829,1398.248673,1373.590755,1349.166504,1572.504479,1519.602696,1345.367224,0.76982,0.50509,0.67281,0.56593,3.16164,3.49082,3.14421,3.50036, 
389,1576.516905,1551.853079,1398.47213,1373.839641,1349.134024,1572.746369,1520.081395,1345.281885,0.77311,0.51003,0.67609,0.57251,3.16953,3.5043,3.15342,3.51088, 
390,1576.550374,1551.734751,1398.469002,1373.680124,1348.817591,1573.028352,1519.614076,1345.039084,0.77804,0.5166,0.68596,0.57251,3.17183,3.5099,3.15967,3.51516, 
391,1576.436747,1551.821796,1398.035057,1373.363838,1348.920504,1573.417454,1519.956919,1345.04684,0.79777,0.52811,0.7024,0.59059,3.18367,3.52173,3.17381,3.53127, 
392,1576.943529,1551.882584,1398.321537,1373.551782,1348.655652,1573.298598,1519.700663,1344.756996,0.79941,0.52976,0.70405,0.59059,3.19321,3.53226,3.17841,3.53883, 
393,1576.917671,1551.807531,1398.114212,1373.321426,1348.68859,1573.558873,1519.980567,1344.645545,0.80599,0.54127,0.70734,0.60046,3.20275,3.54245,3.19189,3.55034, 
394,1576.880908,1551.880733,1397.887651,1373.102324,1348.36321,1573.648164,1519.856502,1344.372728,0.80764,0.53798,0.71885,0.60868,3.2011,3.54245,3.19124,3.55265, 
395,1577.281367,1552.261293,1398.084453,1373.283304,1348.208141,1573.909356,1519.941281,1344.263741,0.81915,0.54949,0.72542,0.61197,3.21064,3.55659,3.20275,3.56547, 
396,1577.259309,1551.910108,1397.991945,1373.038994,1348.198713,1574.002566,1519.999013,1344.062409,0.82737,0.55278,0.73036,0.62841,3.22379,3.57106,3.21656,3.57632, 
397,1577.261119,1551.773426,1397.835036,1372.752679,1347.944495,1574.147153,1519.869995,1343.798914,0.83723,0.56264,0.74187,0.63334,3.24155,3.58422,3.22577,3.58257, 
398,1577.658269,1551.989893,1398.001514,1372.833465,1347.851599,1574.459948,1520.119173,1343.434432,0.83559,0.56757,0.7468,0.6317,3.2353,3.58619,3.22642,3.58981, 
399,1577.649027,1551.713907,1397.61961,1372.456669,1347.818428,1574.698388,1520.201777,1343.269939,0.8471,0.57086,0.75337,0.63663,3.24583,3.59178,3.23136,3.59737, 
400,1578.127023,1551.92108,1397.703511,1372.61952,1347.631709,1574.937892,1520.144518,1343.327046,0.86354,0.58895,0.77146,0.65308,3.26852,3.61348,3.25339,3.61907, 
401,1577.780933,1551.478184,1397.575625,1372.092411,1347.362838,1574.943858,1520.079782,1343.430726,0.87176,0.59059,0.76817,0.65636,3.26852,3.61447,3.25799,3.62532, 
402,1578.078601,1551.619379,1397.606579,1372.173621,1347.218547,1575.033445,1520.184671,1343.407644,0.87998,0.59717,0.78133,0.65965,3.27904,3.62598,3.26457,3.63256, 
403,1578.231683,1551.845909,1397.505151,1372.085879,1347.215789,1575.098019,1520.200033,1343.017784,0.88163,0.60375,0.7879,0.66459,3.28036,3.63289,3.26983,3.63585, 
404,1578.355308,1551.814888,1397.477916,1372.055765,1347.173524,1575.381316,1520.386608,1342.890298,0.89971,0.61361,0.80599,0.67938,3.29614,3.64867,3.28397,3.65163, 
405,1578.937387,1552.612443,1397.699214,1372.500146,1347.057914,1575.714134,1520.138696,1342.704974,0.91287,0.61855,0.81257,0.68596,3.3093,3.65656,3.28989,3.66183, 
406,1579.064392,1553.443744,1397.725835,1372.498995,1346.949392,1576.002353,1520.249512,1342.390628,0.91287,0.62183,0.81421,0.69089,3.30535,3.65985,3.29614,3.66676, 
407,1578.521866,1552.842594,1397.177536,1371.804008,1346.810874,1576.251524,1520.506608,1342.413557,0.92273,0.63006,0.82572,0.69089,3.3185,3.67136,3.30634,3.67695, 
408,1579.316309,1552.795814,1397.446931,1372.489118,1346.68776,1576.244201,1520.420189,1342.253269,0.92438,0.63334,0.83065,0.70076,3.32245,3.67432,3.31061,3.68221, 
409,1578.842443,1552.370503,1397.030425,1371.724539,1346.398635,1576.29026,1520.452943,1341.985802,0.9474,0.64979,0.85039,0.7172,3.3356,3.69142,3.32179,3.69734, 
410,1578.841178,1552.031598,1396.748231,1371.61518,1346.239499,1576.431967,1520.505826,1341.81163,0.9474,0.65636,0.85367,0.7172,3.34086,3.69668,3.32804,3.70195, 
411,1578.778282,1551.900397,1396.745703,1371.363202,1346.204593,1576.81734,1520.554571,1341.889167,0.95891,0.65965,0.86518,0.73036,3.34514,3.70622,3.33429,3.71148, 
412,1579.388473,1552.27523,1396.877176,1371.572507,1346.078142,1576.988586,1520.55284,1341.570099,0.96713,0.66459,0.86847,0.73364,3.35797,3.71345,3.34185,3.72003, 
413,1579.267061,1552.030726,1396.712479,1371.340536,1345.935851,1577.108732,1520.618177,1341.443091,0.98357,0.67609,0.88656,0.7468,3.36717,3.72792,3.35435,3.73483, 
414,1579.354421,1551.978572,1396.695822,1371.142234,1345.985248,1577.627512,1520.988141,1341.57209,0.99179,0.68432,0.89971,0.75173,3.37375,3.73713,3.36356,3.74174, 
415,1579.718166,1552.020504,1396.64402,1371.236396,1345.743228,1577.52881,1520.651932,1341.116117,0.99837,0.68432,0.90136,0.76324,3.38756,3.74634,3.37309,3.74766, 
416,1579.437106,1551.803873,1396.450226,1371.03489,1345.7665,1577.880482,1521.028466,1341.211196,1.00988,0.69583,0.91616,0.76488,3.38394,3.7493,3.37441,3.75423, 
417,1579.398493,1551.74432,1396.215227,1370.695021,1345.528626,1577.970852,1520.939694,1341.04496,1.02303,0.7024,0.92602,0.77475,3.4017,3.76311,3.38756,3.76804, 
418,1579.740469,1551.901063,1396.340093,1370.846133,1345.461095,1578.152858,1520.812536,1340.731661,1.03783,0.72213,0.93918,0.79119,3.41815,3.77758,3.40137,3.78383, 
